ID,ยาสีฟันกลิสเทอร์,ลูกกลิ้งระงับกลิ่นเหงื,ออลแพลนท์โปรตีน450กรัม,นิวทริไลท์น้ำมันปลา,ผลิตภัณฑ์ทําความสะอาดLO,นิวทริไลท์การ์ลิค(กระ,น้ำยาล้างจานดิชดรอปส,ยาสีฟันกลิสเทอร์ขนาดพก,ยาสีฟันกลิสเทอร์ไวท์,นิวทริไลท์ออลแพลนท์,นิวทริไลท์กรีนทีโปรตีน,เครื่องดื่มXS:แครนเบอร,เครื่องดื่มXS:ทรอปิคอล,ไฟโตพาวเดอร์อะเซโรล่า,นิวทริไลท์ไฟโตเบลนด์
A1012689,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A1048433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1052660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1067336,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
A1069548,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
A1080503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1081679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1086112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A1100371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1104381,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A1114225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1121830,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
A1129372,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
A1131107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1156106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1156107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1161324,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A1165761,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A1169908,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A1169914,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A1175165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1183544,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
A1183544,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
A1189247,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
A1189247,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A1190505,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A1190878,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
A1200375,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
A1202771,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A1206883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1207352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1210100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A1210101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A1247637,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A1258281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1258469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1261144,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
A1265780,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
A1270512,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A1277070,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
