ID,ยาสีฟันกลิสเทอร์,ลูกกลิ้งระงับกลิ่นเหงื,ออลแพลนท์โปรตีน450กรัม,ยาสีฟันกลิสเทอร์ขนาดพก,นิวทริไลท์น้ำมันปลา,ยาสีฟันกลิสเทอร์ไวท์,นิวทริไลท์การ์ลิค(กระ,นิวทริไลท์กรีนทีโปรตีน,นิวทริไลท์พริมโรสพลั,ไฟโตพาวเดอร์อะเซโรล่า,แก้วเชคนิวทริไลท์,นิวทริไลท์โปรตีนเบอร์ร,น้ำยาล้างจานดิชดรอปส,โลชั่นถนอมผิวอัลลาโน,นิวทริไลท์ไฟโตเบลนด์
M1107665,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M1233464,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
M1265568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1291308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1470631,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
M1470971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1576141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1646244,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M1987882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2001094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2003777,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M2012088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2016083,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
M2022061,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2026749,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
M2027361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2028664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2029633,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
M2029640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2031710,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M2032409,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
M2033644,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
M2034788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
M2036706,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M2038209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2038228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2038241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2038915,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M2039612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2040034,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2041003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2044652,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
M2044731,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
M2045056,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M2045089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2050444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2052158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2052171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M2054059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2055001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2057655,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
M2061061,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2061272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2061303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2061310,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
M2062235,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
